word1;word2;n
free;cocktails;  4
free;menu;  4
free;options;  4
free;range;  4
free;table;  4
fresh;air;  4
fresh;fish;  4
fresh;juices;  4
fresh;lettuce;  4
fresh;pear;  4
fresh;served;  4
fresh;tasting;  4
friendly;excellent;  4
friendly;prices;  4
friendly;waiters;  4
friendly;waitresses;  4
fun;atmosphere;  4
fun;steamed;  4
generous;amount;  4
good;2;  4
good;albeit;  4
good;alternative;  4
good;attention;  4
good;char;  4
good;comments;  4
good;crispy;  4
good;decor;  4
good;dish;  4
good;excellent;  4
good;feedback;  4
good;flavor;  4
good;friend;  4
good;hands;  4
good;including;  4
good;introduction;  4
good;laugh;  4
good;match;  4
good;meals;  4
good;memory;  4
good;mixture;  4
good;noodle;  4
good;noodles;  4
good;options;  4
good;people;  4
good;ratings;  4
good;reputation;  4
good;serving;  4
good;sichuan;  4
good;solid;  4
good;soup;  4
good;start;  4
great;3;  4
great;afternoon;  4
great;duck;  4
great;fast;  4
great;flavor;  4
great;fried;  4
great;modern;  4
great;nice;  4
great;people;  4
great;recommend;  4
great;seat;  4
great;server;  4
great;surprise;  4
great;texture;  4
great;treat;  4
ha;jiao;  4
horrible;service;  4
huge;choice;  4
huge;menu;  4
huge;queue;  4
impressive;view;  4
indifferent;service;  4
interesting;art;  4
interesting;combinations;  4
kind;staff;  4
leave;hk;  4
like;20;  4
like;5;  4
like;birds;  4
like;family;  4
like;fried;  4
like;gold;  4
like;noodles;  4
like;shrimp;  4
like;steamed;  4
like;xiao;  4
limited;choices;  4
limited;seating;  4
limited;time;  4
love;food;  4
love;hongkong;  4
lovely;ambiance;  4
lovely;environment;  4
lovely;night;  4
nice;choice;  4
nice;delicious;  4
nice;harbour;  4
nice;job;  4
nice;mix;  4
nice;mixture;  4
nice;nice;  4
nice;option;  4
nice;price;  4
nice;restaurants;  4
nice;steamed;  4
nice;tea;  4
nice;venue;  4
no;airs;  4
no;bookings;  4
no;charge;  4
no;comparison;  4
no;complaint;  4
no;dress;  4
no;joke;  4
no;meat;  4
no;pictures;  4
no;sense;  4
no;space;  4
no;special;  4
no;windows;  4
outstanding;dim;  4
pay;service;  4
perfect;blend;  4
perfect;dining;  4
perfect;restaurant;  4
perfect;temperature;  4
perfectly;executed;  4
perfectly;nice;  4
pleasant;setting;  4
please;bring;  4
please;remember;  4
popular;items;  4
popular;location;  4
popular;restaurants;  4
prepared;chinese;  4
prepared;perfectly;  4
pretty;awesome;  4
pretty;bad;  4
pretty;bland;  4
pretty;consistent;  4
pretty;cool;  4
pretty;delicious;  4
pretty;disappointed;  4
pretty;poor;  4
pretty;standard;  4
recommend;dining;  4
recommended;dim;  4
recommended;hutong;  4
recommended;items;  4
